,act_id,mov_id,role
0,101,901, John Scottie Ferguson
1,102,902, Miss Giddens
2,103,903, T.E. Lawrence
3,104,904, Michael
4,105,905, Antonio Salieri
5,106,906, Rick Deckard
6,107,907, Alice Harford
7,108,908, McManus
8,110,910, Eddie Adams
9,111,911, Alvy Singer
10,112,912, San
11,113,913, Andy Dufresne
12,114,914, Lester Burnham
13,115,915, Rose DeWitt Bukater
14,116,916, Sean Maguire
15,117,917, Ed
16,118,918, Renton
17,120,920, Elizabeth Darko
18,121,921, Older Jamal
19,122,922, Ripley
20,114,923, Bobby Darin
21,109,909, J.J. Gittes
22,119,919, Alfred Borden
